latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
28.0,68.0,2022-01-28 06:00:00,293.1325,19.6,19.98,67.97,65.4,18.56
28.0,68.0,2022-01-28 12:00:00,296.3867,17.4,23.24,73.83,71.7,22.06
28.0,68.0,2022-01-28 18:00:00,288.11584,31.0,14.97,58.94,56.0,13.33
28.0,68.0,2022-01-29 00:00:00,286.44812,32.6,13.3,55.94,52.8,11.56
28.0,68.0,2022-01-29 06:00:00,294.89862,13.0,21.75,71.15,68.6,20.33
28.0,68.0,2022-01-29 12:00:00,298.52734,12.4,25.38,77.68,75.7,24.28
28.0,68.0,2022-01-29 18:00:00,288.96777,23.8,15.82,60.47,57.3,14.06
28.0,68.0,2022-01-30 00:00:00,287.05066,25.8,13.9,57.02,53.6,12.0
28.0,68.0,2022-01-30 06:00:00,294.73895,20.8,21.59,70.86,68.6,20.33
28.0,68.0,2022-01-30 12:00:00,298.2283,20.1,25.08,77.14,75.5,24.17
28.0,68.0,2022-01-30 18:00:00,290.1087,27.4,16.96,62.53,59.8,15.44
28.0,68.0,2022-01-31 00:00:00,288.2787,29.1,15.13,59.23,56.2,13.44
28.0,68.0,2022-01-31 06:00:00,296.40265,19.5,23.25,73.85,71.9,22.17
28.0,68.0,2022-01-31 12:00:00,299.9,18.8,26.75,80.15,78.7,25.94
28.0,68.0,2022-01-31 18:00:00,292.10284,25.3,18.95,66.12,63.6,17.56
28.0,68.0,2022-02-01 00:00:00,289.36346,30.1,16.21,61.18,58.4,14.67
28.0,68.0,2022-02-01 06:00:00,297.02835,20.6,23.88,74.98,73.1,22.83
28.0,68.0,2022-02-01 12:00:00,300.52386,17.7,27.37,81.27,79.9,26.61
28.0,68.0,2022-02-01 18:00:00,291.64825,27.9,18.5,65.3,62.8,17.11
28.0,68.0,2022-02-02 00:00:00,288.9889,33.6,15.84,60.51,57.8,14.33
28.0,68.0,2022-02-02 06:00:00,297.44934,19.6,24.3,75.74,73.9,23.28
28.0,68.0,2022-02-02 12:00:00,302.47137,12.7,29.32,84.78,81.6,27.56
28.0,68.0,2022-02-02 18:00:00,292.62512,19.3,19.48,67.06,64.4,18.0
28.0,68.0,2022-02-03 00:00:00,287.08768,33.9,13.94,57.09,54.1,12.28
28.0,68.0,2022-02-03 06:00:00,294.4021,20.9,21.25,70.25,68.0,20.0
28.0,68.0,2022-02-03 12:00:00,298.26443,13.9,25.11,77.21,75.3,24.06
28.0,68.0,2022-02-03 18:00:00,289.14706,24.7,16.0,60.79,57.7,14.28
28.0,68.0,2022-02-04 00:00:00,286.0046,27.3,12.85,55.14,51.6,10.89
28.0,68.0,2022-02-04 06:00:00,294.57925,15.7,21.43,70.57,68.1,20.06
28.0,68.0,2022-02-04 12:00:00,298.9625,12.3,25.81,78.46,76.6,24.78
28.0,68.0,2022-02-04 18:00:00,289.2359,18.2,16.09,60.95,57.6,14.22
