latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,71.0,2021-01-31 06:00:00,293.79153,10.6,20.64,69.15,66.3,19.06
30.0,71.0,2021-01-31 12:00:00,295.98145,10.4,22.83,73.1,70.6,21.44
30.0,71.0,2021-01-31 18:00:00,287.68246,19.9,14.53,58.16,54.6,12.56
30.0,71.0,2021-02-01 00:00:00,284.58145,28.4,11.43,52.58,48.9,9.39
30.0,71.0,2021-02-01 06:00:00,293.88907,16.9,20.74,69.33,66.8,19.33
30.0,71.0,2021-02-01 12:00:00,296.3237,14.5,23.17,73.71,71.5,21.94
30.0,71.0,2021-02-01 18:00:00,287.6941,28.0,14.54,58.18,55.0,12.78
30.0,71.0,2021-02-02 00:00:00,285.47638,31.6,12.33,54.19,50.8,10.44
30.0,71.0,2021-02-02 06:00:00,296.00797,16.0,22.86,73.14,70.9,21.61
30.0,71.0,2021-02-02 12:00:00,297.1892,14.0,24.04,75.27,73.2,22.89
30.0,71.0,2021-02-02 18:00:00,288.2393,24.9,15.09,59.16,55.9,13.28
30.0,71.0,2021-02-03 00:00:00,285.99646,26.1,12.85,55.12,51.6,10.89
30.0,71.0,2021-02-03 06:00:00,294.9098,21.6,21.76,71.17,69.0,20.56
30.0,71.0,2021-02-03 12:00:00,296.34357,20.5,23.19,73.75,71.8,22.11
30.0,71.0,2021-02-03 18:00:00,288.57587,33.0,15.43,59.77,57.0,13.89
30.0,71.0,2021-02-04 00:00:00,284.3053,64.4,11.16,52.08,50.0,10.0
30.0,71.0,2021-02-04 06:00:00,294.5961,33.2,21.45,70.6,68.9,20.5
30.0,71.0,2021-02-04 12:00:00,295.8243,25.8,22.67,72.81,71.0,21.67
30.0,71.0,2021-02-04 18:00:00,286.38248,55.3,13.23,55.82,53.7,12.06
30.0,71.0,2021-02-05 00:00:00,284.6497,59.6,11.5,52.7,50.5,10.28
30.0,71.0,2021-02-05 06:00:00,294.92783,30.2,21.78,71.2,69.4,20.78
30.0,71.0,2021-02-05 12:00:00,296.60358,20.4,23.45,74.22,72.3,22.39
30.0,71.0,2021-02-05 18:00:00,286.1713,46.4,13.02,55.44,52.9,11.61
30.0,71.0,2021-02-06 00:00:00,283.41592,55.0,10.27,50.48,47.8,8.78
30.0,71.0,2021-02-06 06:00:00,294.7976,25.2,21.65,70.97,69.0,20.56
30.0,71.0,2021-02-06 12:00:00,296.5343,16.6,23.38,74.09,72.0,22.22
30.0,71.0,2021-02-06 18:00:00,288.09616,28.6,14.95,58.9,55.8,13.22
30.0,71.0,2021-02-07 00:00:00,284.2229,35.8,11.07,51.93,48.5,9.17
30.0,71.0,2021-02-07 06:00:00,296.5772,16.5,23.43,74.17,72.1,22.28
30.0,71.0,2021-02-07 12:00:00,299.7299,13.5,26.58,79.84,78.2,25.67
30.0,71.0,2021-02-07 18:00:00,289.4348,21.9,16.28,61.31,58.2,14.56
30.0,71.0,2021-02-08 00:00:00,285.26007,26.0,12.11,53.8,50.1,10.06
30.0,71.0,2021-02-08 06:00:00,297.1954,13.3,24.05,75.28,73.1,22.83
30.0,71.0,2021-02-08 12:00:00,299.33295,12.7,26.18,79.13,77.3,25.17
30.0,71.0,2021-02-08 18:00:00,289.97,29.9,16.82,62.28,59.6,15.33
30.0,71.0,2021-02-09 00:00:00,286.49768,30.1,13.35,56.03,52.7,11.5
30.0,71.0,2021-02-09 06:00:00,298.99326,13.9,25.84,78.52,76.7,24.83
30.0,71.0,2021-02-09 12:00:00,301.77054,11.4,28.62,83.52,80.5,26.94
30.0,71.0,2021-02-09 18:00:00,290.19836,29.0,17.05,62.69,60.0,15.56
30.0,71.0,2021-02-10 00:00:00,287.92,34.4,14.77,58.59,55.8,13.22
30.0,71.0,2021-02-10 06:00:00,299.94235,19.5,26.79,80.23,78.9,26.06
30.0,71.0,2021-02-10 12:00:00,301.5246,14.2,28.37,83.07,80.4,26.89
30.0,71.0,2021-02-10 18:00:00,290.36444,26.2,17.21,62.99,60.2,15.67
30.0,71.0,2021-02-11 00:00:00,288.08005,29.9,14.93,58.87,55.9,13.28
30.0,71.0,2021-02-11 06:00:00,299.52838,14.9,26.38,79.48,77.8,25.44
30.0,71.0,2021-02-11 12:00:00,301.42804,9.9,28.28,82.9,79.9,26.61
30.0,71.0,2021-02-11 18:00:00,291.12476,24.1,17.97,64.35,61.6,16.44
30.0,71.0,2021-02-12 00:00:00,288.9627,29.0,15.81,60.46,57.6,14.22
30.0,71.0,2021-02-12 06:00:00,299.9946,15.4,26.84,80.32,78.8,26.0
30.0,71.0,2021-02-12 12:00:00,301.22626,12.6,28.08,82.54,80.0,26.67
