District_id,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,pctile
611,,,,,,,,,,,,2.195633188,2.308154506,2.217317487,2.314798973,2.125321888,2.135225376,2.825990491,2.662047729,2.568198945,2.749812734,2.593478261,2.776785714,2.779454023,2.794159544,2.871033086,2.878018576,,3.181699346,3.088426528,3.042471042,3.085551331,3.059292415,3.068497535,3.390482598,3.475475475,2.3121411862
612,1.793152136,1.671242279,1.807329843,2.19828722,1.637837838,1.95232,2.101092044,1.934926124,1.954701656,2.147734327,2.067975831,2.159607121,2.241661613,2.585989176,2.159516616,2.284936479,2.247101891,2.525171821,2.547645429,2.458486823,2.587404688,2.661580381,2.873020063,2.869069225,3.089024714,2.59155687,2.800249377,,2.932328062,2.83358837,2.969591994,3.050511945,3.073243154,2.892074367,3.179565383,3.153648844,2.045320996
613,1.143478261,0.752097635,0.940540541,1.277192982,1.113879004,1.083146067,1.351005484,1.511627907,1.556313993,1.500900901,1.599415205,0.936096718,1.51242236,1.332805071,1.182250396,1.832565284,1.581635802,1.539688716,0.765822785,1.011990408,1.201814059,1.602150538,2.044897959,1.666666667,2.11003861,1.623574144,2.03909465,,1.889795918,1.387550201,1.79757085,1.63197026,0.000317245,2.247970349,1.787625418,1.523555556,1.1077324166
614,2.066627358,1.688955224,2.068838353,2.242477876,1.83543578,2.076002394,2.263188406,2.111751152,2.254705882,2.33847981,2.178904429,2.302367942,2.439257929,2.351398601,2.484713376,2.488080301,2.498390093,3.029568303,3.032258065,2.651834035,2.591214155,2.488358209,2.932183908,2.814835471,3.028452875,2.700166574,2.973223481,,3.085378869,3.099402499,2.997764114,3.009884679,3.069659166,2.897045496,3.204138771,3.162650602,2.2297631866
615,,,2.044357103,2.448654585,2.055496265,2.131112305,2.085185185,2.114226376,1.850944359,2.123834197,2.078293483,2.214896829,2.525457242,2.35651751,2.456542969,2.710249042,2.424141221,3.6004662,3.324802234,2.843809524,2.727821644,2.713558538,3.087254454,2.835855112,3.152815013,2.680529301,3.112418301,,3.088090551,2.936061381,3.105081401,3.169995355,3.153370014,3.200915466,3.76168131,3.471512972,2.1267454401999997
616,1.263214671,0.822,0.983385254,1.240449438,0.915083799,0.966817496,1.097799511,1.073566085,1.144099379,1.21455458,1.140684411,1.205323194,1.423638778,1.432679739,1.415243101,1.757831325,1.700130719,1.458935361,1.476256983,1.399390244,1.695224719,1.740331492,1.97113164,2.103044496,1.972157773,1.586651054,1.783913565,,2.01191766,1.687645688,1.916475973,1.655172414,1.850005395,1.9707017,2.142809439,2.057913399,1.1434163854000001
617,2.037906137,1.494382022,2.185770751,2.420315236,1.511864407,2.067049808,2.418250951,2.295652174,2.454716981,2.726720648,2.668627451,2.62055336,2.400749064,2.339622642,2.47826087,2.211764706,2.584705882,3.209786477,2.882926829,2.804088586,2.66967509,2.643911439,2.915162455,2.717352415,2.626072041,2.449050086,2.499197432,,2.86882716,3.001564945,3.088850174,2.924369748,2.739355485,2.981948826,3.152105813,3.11900436,2.3308285484
618,1.454479769,1.160598179,1.225033289,1.640175219,1.370392749,1.61465721,1.699769053,1.643213296,1.513483764,1.695964621,1.755026455,1.766062603,1.940561365,1.855462185,1.672206304,2.110544218,1.796945701,2.166666667,2.213718821,2.022259321,2.128017967,2.328013209,2.829539145,2.654164368,2.666489078,2.179173047,2.535480624,,2.817488561,2.382445141,2.614375656,2.710854503,2.541755889,2.579317998,3.041504371,2.441046259,1.6426056806
619,,,,,,,,,,1.937681159,2.287585777,2.362491716,2.27672956,2.078324226,2.360721443,2.489932886,2.467873832,2.892988314,2.593834505,2.524330235,2.754500818,2.662771285,2.606818182,2.509243697,2.961583924,2.581115336,3.217041801,,3.12378902,3.009019844,3.172216441,3.275,3.122033732,3.386758553,3.883023834,3.416324134,2.362491716
620,,,,,,,,,,,,2.228219697,2.166515837,2.012488849,2.028466483,2.376987839,2.238899254,2.975021834,2.54206418,2.70670148,2.778639104,2.49338843,2.680851064,2.790113452,2.636070853,2.563621533,2.706595906,,2.609738372,2.725,2.839595376,2.600421348,2.43953762,2.574064099,3.127907743,2.821545448,2.3217524050000002
621,1.20220299,1.141996558,1.037099494,1.263018535,1.231942215,1.268067227,1.387072243,1.398133748,1.458211144,1.504285714,1.359809912,1.421192053,1.473831124,1.554073034,1.542022792,1.818240621,1.898943197,1.618652144,1.498274672,1.770588235,1.955789474,2.030199039,2.226936027,2.05511811,2.079099307,1.834840265,1.894137735,,2.395348837,2.2043379,2.506351039,2.503088153,1.776343968,2.036921836,2.92023558,2.312335958,1.3816197768
622,1.949761802,1.713037921,2.045292439,2.262763785,1.800387597,1.788631722,1.894601542,1.884169884,1.863790447,1.937793427,2.288321168,1.949425287,2.276395799,2.054341737,2.243106359,2.597508126,2.186373874,2.594728171,2.560490046,2.489119171,2.539707419,2.44438723,2.735038363,2.549802761,2.849843587,2.323687031,2.952976488,,2.811117107,2.600239378,2.90704388,2.952845528,3.022094241,3.027652974,3.243268876,3.21237081,1.947098915
623,1.483237548,1.15747289,1.493277701,1.828674482,1.528577568,1.609340899,1.596192791,1.805236017,1.594208494,2.013795822,2.054834055,1.638504673,1.914096916,1.983131646,2.052474879,2.380087209,2.168220947,2.561342188,2.445603059,2.23198594,2.36294964,2.37173686,2.616970926,2.522451655,2.716859717,2.372157133,2.707317073,,2.890726329,2.75225677,2.804325438,2.81184,1.834589107,2.883123293,3.180321619,3.147638411,1.6326719182
624,,,,,,,,,,,,,,,,,,,,,,,,2.916901408,2.978985507,2.837735849,2.968731209,,2.998240985,3.125333333,3.100337268,3.108346709,3.328686837,3.227141017,3.467859782,3.246703707,2.9707820686
