realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
162.0,103.0,7.0,1.0,0.35,2.857142857142857
163.0,99.0,7.0,1.0,0.35,2.857142857142857
164.0,101.0,7.0,1.0,0.35,2.857142857142857
165.0,101.0,6.0,1.0,0.3,3.3333333333333335
166.0,102.0,5.0,1.0,0.25,4.0
167.0,101.0,4.0,1.0,0.2,5.0
168.0,108.0,4.0,1.0,0.2,5.0
169.0,122.0,4.0,1.0,0.2,5.0
170.0,125.0,4.0,1.0,0.2,5.0
171.0,126.0,4.0,1.0,0.2,5.0
172.0,126.0,3.0,1.0,0.15,6.666666666666667
173.0,127.0,3.0,1.0,0.15,6.666666666666667
174.0,127.0,4.0,1.0,0.2,5.0
175.0,126.0,4.0,1.0,0.2,5.0
176.0,126.0,4.0,1.0,0.2,5.0
177.0,129.0,4.0,1.0,0.2,5.0
178.0,129.0,4.0,1.0,0.2,5.0
179.0,128.0,4.0,1.0,0.2,5.0
180.0,128.0,4.0,1.0,0.2,5.0
181.0,131.0,4.0,1.0,0.2,5.0
182.0,131.0,5.0,1.0,0.25,4.0
183.0,129.0,5.0,1.0,0.25,4.0
184.0,128.0,5.0,1.0,0.25,4.0
185.0,129.0,5.0,1.0,0.25,4.0
186.0,129.0,5.0,1.0,0.25,4.0
187.0,130.0,5.0,1.0,0.25,4.0
188.0,129.0,5.0,1.0,0.25,4.0
189.0,125.0,5.0,1.0,0.25,4.0
190.0,124.0,5.0,1.0,0.25,4.0
191.0,122.0,5.0,1.0,0.25,4.0
192.0,122.0,5.0,1.0,0.25,4.0
193.0,122.0,5.0,1.0,0.25,4.0
194.0,122.0,4.0,1.0,0.2,5.0
195.0,121.0,4.0,1.0,0.2,5.0
196.0,122.0,4.0,1.0,0.2,5.0
197.0,119.0,4.0,1.0,0.2,5.0
198.0,120.0,4.0,1.0,0.2,5.0
199.0,121.0,4.0,1.0,0.2,5.0
200.0,123.0,4.0,1.0,0.2,5.0
201.0,123.0,4.0,1.0,0.2,5.0
202.0,124.0,3.0,1.0,0.15,6.666666666666667
203.0,120.0,3.0,1.0,0.15,6.666666666666667
204.0,120.0,2.0,1.0,0.1,10.0
205.0,118.0,2.0,1.0,0.1,10.0
206.0,120.0,2.0,1.0,0.1,10.0
207.0,121.0,2.0,1.0,0.1,10.0
208.0,115.0,2.0,1.0,0.1,10.0
209.0,111.0,3.0,1.0,0.15,6.666666666666667
210.0,111.0,3.0,1.0,0.15,6.666666666666667
211.0,122.0,2.0,1.0,0.1,10.0
212.0,119.0,2.0,1.0,0.1,10.0
213.0,118.0,1.0,1.0,0.05,20.0
214.0,121.0,2.0,1.0,0.1,10.0
215.0,125.0,3.0,1.0,0.15,6.666666666666667
216.0,129.0,3.0,1.0,0.15,6.666666666666667
217.0,132.0,3.0,1.0,0.15,6.666666666666667
218.0,137.0,3.0,1.0,0.15,6.666666666666667
219.0,142.0,3.0,1.0,0.15,6.666666666666667
220.0,147.0,3.0,1.0,0.15,6.666666666666667
221.0,152.0,3.0,1.0,0.15,6.666666666666667
222.0,153.0,3.0,1.0,0.15,6.666666666666667
223.0,155.0,3.0,1.0,0.15,6.666666666666667
