realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
48.0,109.0,6.0,1.0,0.3157894736842105,3.1666666666666665
49.0,100.0,6.0,1.0,0.3157894736842105,3.1666666666666665
50.0,99.0,6.0,1.0,0.3157894736842105,3.1666666666666665
51.0,98.0,6.0,1.0,0.3157894736842105,3.1666666666666665
52.0,96.0,5.0,1.0,0.2631578947368421,3.8
53.0,97.0,4.0,1.0,0.21052631578947367,4.75
54.0,107.0,4.0,1.0,0.21052631578947367,4.75
55.0,114.0,5.0,1.0,0.2631578947368421,3.8
56.0,114.0,6.0,1.0,0.3157894736842105,3.1666666666666665
57.0,123.0,7.0,1.0,0.3684210526315789,2.7142857142857144
58.0,119.0,6.0,1.0,0.3157894736842105,3.1666666666666665
59.0,114.0,6.0,1.0,0.3157894736842105,3.1666666666666665
60.0,108.0,6.0,1.0,0.3157894736842105,3.1666666666666665
61.0,109.0,6.0,1.0,0.3157894736842105,3.1666666666666665
62.0,109.0,7.0,1.0,0.3684210526315789,2.7142857142857144
63.0,110.0,7.0,1.0,0.3684210526315789,2.7142857142857144
64.0,115.0,6.0,1.0,0.3157894736842105,3.1666666666666665
65.0,117.0,6.0,1.0,0.3157894736842105,3.1666666666666665
66.0,116.0,6.0,1.0,0.3157894736842105,3.1666666666666665
67.0,115.0,6.0,1.0,0.3157894736842105,3.1666666666666665
68.0,114.0,6.0,1.0,0.3157894736842105,3.1666666666666665
69.0,117.0,6.0,1.0,0.3157894736842105,3.1666666666666665
70.0,114.0,6.0,1.0,0.3157894736842105,3.1666666666666665
71.0,111.0,5.0,1.0,0.2631578947368421,3.8
72.0,112.0,5.0,1.0,0.2631578947368421,3.8
73.0,101.0,5.0,1.0,0.2631578947368421,3.8
74.0,105.0,6.0,1.0,0.3157894736842105,3.1666666666666665
75.0,110.0,6.0,1.0,0.3157894736842105,3.1666666666666665
76.0,104.0,5.0,1.0,0.2631578947368421,3.8
77.0,105.0,4.0,1.0,0.21052631578947367,4.75
78.0,103.0,4.0,1.0,0.21052631578947367,4.75
79.0,100.0,4.0,1.0,0.21052631578947367,4.75
80.0,98.0,4.0,1.0,0.21052631578947367,4.75
81.0,99.0,4.0,1.0,0.21052631578947367,4.75
82.0,93.0,3.0,1.0,0.15789473684210525,6.333333333333333
83.0,91.0,3.0,1.0,0.15789473684210525,6.333333333333333
84.0,98.0,3.0,1.0,0.15789473684210525,6.333333333333333
85.0,101.0,3.0,1.0,0.15789473684210525,6.333333333333333
86.0,104.0,3.0,1.0,0.15789473684210525,6.333333333333333
87.0,109.0,3.0,1.0,0.15789473684210525,6.333333333333333
88.0,108.0,3.0,1.0,0.15789473684210525,6.333333333333333
89.0,115.0,3.0,1.0,0.15789473684210525,6.333333333333333
90.0,118.0,3.0,1.0,0.15789473684210525,6.333333333333333
91.0,111.0,4.0,1.0,0.21052631578947367,4.75
92.0,117.0,4.0,1.0,0.21052631578947367,4.75
93.0,116.0,4.0,1.0,0.21052631578947367,4.75
94.0,116.0,3.0,1.0,0.15789473684210525,6.333333333333333
95.0,114.0,3.0,1.0,0.15789473684210525,6.333333333333333
96.0,115.0,3.0,1.0,0.15789473684210525,6.333333333333333
97.0,119.0,4.0,1.0,0.21052631578947367,4.75
98.0,118.0,5.0,1.0,0.2631578947368421,3.8
99.0,127.0,6.0,1.0,0.3157894736842105,3.1666666666666665
100.0,131.0,7.0,1.0,0.3684210526315789,2.7142857142857144
101.0,130.0,7.0,1.0,0.3684210526315789,2.7142857142857144
102.0,128.0,7.0,1.0,0.3684210526315789,2.7142857142857144
103.0,119.0,6.0,1.0,0.3157894736842105,3.1666666666666665
104.0,118.0,6.0,1.0,0.3157894736842105,3.1666666666666665
105.0,115.0,6.0,1.0,0.3157894736842105,3.1666666666666665
106.0,115.0,6.0,1.0,0.3157894736842105,3.1666666666666665
107.0,112.0,6.0,1.0,0.3157894736842105,3.1666666666666665
108.0,109.0,7.0,1.0,0.3684210526315789,2.7142857142857144
109.0,108.0,8.0,1.0,0.42105263157894735,2.375
110.0,110.0,9.0,1.0,0.47368421052631576,2.111111111111111
111.0,111.0,9.0,1.0,0.47368421052631576,2.111111111111111
112.0,111.0,9.0,1.0,0.47368421052631576,2.111111111111111
113.0,110.0,9.0,1.0,0.47368421052631576,2.111111111111111
114.0,114.0,10.0,1.0,0.5263157894736842,1.9
115.0,114.0,10.0,1.0,0.5263157894736842,1.9
116.0,115.0,11.0,1.0,0.5789473684210527,1.7272727272727273
117.0,118.0,11.0,1.0,0.5789473684210527,1.7272727272727273
118.0,114.0,10.0,1.0,0.5263157894736842,1.9
119.0,111.0,9.0,1.0,0.47368421052631576,2.111111111111111
120.0,114.0,9.0,1.0,0.47368421052631576,2.111111111111111
121.0,119.0,9.0,1.0,0.47368421052631576,2.111111111111111
122.0,127.0,10.0,1.0,0.5263157894736842,1.9
123.0,132.0,10.0,1.0,0.5263157894736842,1.9
124.0,133.0,11.0,1.0,0.5789473684210527,1.7272727272727273
125.0,134.0,11.0,1.0,0.5789473684210527,1.7272727272727273
126.0,138.0,11.0,1.0,0.5789473684210527,1.7272727272727273
127.0,142.0,12.0,1.0,0.631578947368421,1.5833333333333333
128.0,140.0,12.0,1.0,0.631578947368421,1.5833333333333333
129.0,145.0,12.0,1.0,0.631578947368421,1.5833333333333333
130.0,145.0,12.0,1.0,0.631578947368421,1.5833333333333333
131.0,140.0,11.0,1.0,0.5789473684210527,1.7272727272727273
132.0,138.0,12.0,1.0,0.631578947368421,1.5833333333333333
133.0,141.0,12.0,1.0,0.631578947368421,1.5833333333333333
134.0,138.0,12.0,1.0,0.631578947368421,1.5833333333333333
135.0,139.0,11.0,1.0,0.5789473684210527,1.7272727272727273
136.0,139.0,10.0,1.0,0.5263157894736842,1.9
137.0,143.0,9.0,1.0,0.47368421052631576,2.111111111111111
138.0,138.0,10.0,1.0,0.5263157894736842,1.9
139.0,138.0,11.0,1.0,0.5789473684210527,1.7272727272727273
140.0,140.0,10.0,1.0,0.5263157894736842,1.9
141.0,133.0,11.0,1.0,0.5789473684210527,1.7272727272727273
142.0,133.0,10.0,1.0,0.5263157894736842,1.9
143.0,137.0,10.0,1.0,0.5263157894736842,1.9
144.0,142.0,10.0,1.0,0.5263157894736842,1.9
145.0,139.0,11.0,1.0,0.5789473684210527,1.7272727272727273
146.0,138.0,12.0,1.0,0.631578947368421,1.5833333333333333
147.0,140.0,12.0,1.0,0.631578947368421,1.5833333333333333
148.0,139.0,11.0,1.0,0.5789473684210527,1.7272727272727273
149.0,134.0,10.0,1.0,0.5263157894736842,1.9
150.0,130.0,9.0,1.0,0.47368421052631576,2.111111111111111
151.0,128.0,10.0,1.0,0.5263157894736842,1.9
152.0,121.0,10.0,1.0,0.5263157894736842,1.9
153.0,125.0,11.0,1.0,0.5789473684210527,1.7272727272727273
