date,precip
19810823,11499.092907368671
19810824,7187.954029358369
19810825,2227.0456495285034
19810826,5692.091186517359
19810827,8815.096573019027
19810828,38440.67808402003
19810829,10838.44467131858
19810830,5584.162288972208
19810831,5736.887032072685
19810901,2774.9415957263873
19810902,2146.349038334454
19810903,8464.000418638016
19810904,12104.956263988863
19810905,10029.12163217208
19810906,50528.837733135035
19810907,16932.363780686668
19810908,37003.04525488266
19810909,41843.64992263059
19810910,61679.55000739635
19810911,9001.347633967212
19810912,403.64903116226196
19810913,188.97449929059724
19810914,765.9680811211173
19810915,2673.527489785587
19810916,38212.06655161425
19810917,101401.14781038633
19810918,211893.65688118356
19810919,154238.95921955613
19810920,12991.034688706024
19810921,2064.45817899704
19810922,2.933507204055786
19810923,312.38671646351906
19810924,4704.584484113899
