District_id,Year,Simulated_event,Observed_event,Observed_vhi,Ens_mean_vhi,Ens_sd_vhi
726,2003,0.0,0.0,48.086,52.846435897435896,7.356686537529294
726,2004,0.0,0.0,48.339,60.57535897435897,7.351386771375269
726,2005,0.0,0.0,58.024,43.59453846153846,7.337881870986504
726,2006,0.0,0.0,48.119,63.91912820512822,7.337646004166927
726,2007,0.0,0.0,58.013,54.56671794871794,7.390063862801462
726,2008,0.0,0.0,51.64200000000001,53.2435641025641,7.338243197231711
726,2009,1.0,0.0,45.726,42.34082051282052,7.338517676424902
726,2010,0.0,0.0,49.160000000000004,51.96635897435897,7.337699274420812
726,2011,0.0,0.0,49.913999999999994,48.73248717948719,7.344575227808995
726,2012,0.0,0.0,62.315999999999995,60.53543589743591,7.337735659338837
726,2013,0.0,0.0,46.99699999999999,55.51828205128204,7.338011034848322
726,2014,0.0,0.0,43.732000000000006,48.7761282051282,7.337648799725146
726,2015,1.0,1.0,35.012,38.93741025641025,7.337853646731417
726,2016,0.0,1.0,40.26,46.16192307692308,7.338851714180505
726,2017,1.0,1.0,35.864999999999995,25.1744358974359,7.338492089305164
726,2018,1.0,1.0,33.752,42.43730769230769,7.342413311720286
726,2019,1.0,1.0,43.42,37.7344358974359,7.338492089305162
726,2020,0.0,0.0,55.452,57.157205128205135,7.338224102944192
726,2021,0.0,1.0,39.477000000000004,55.054871794871794,7.34186027292015
727,1983,0.0,1.0,40.68500000000001,46.53758974358974,6.009610622402386
727,1984,0.0,0.0,55.85300000000001,52.127,5.977560989719042
727,1985,1.0,1.0,21.836,27.811102564102566,5.968744754082914
727,1986,1.0,1.0,40.339,28.727692307692315,5.980603692095487
727,1987,1.0,1.0,32.583999999999996,35.508282051282045,5.989931928777542
727,1988,1.0,1.0,37.052,38.333769230769235,5.996948918621897
727,1989,1.0,1.0,32.653,25.530897435897437,6.009389344881456
727,1990,1.0,1.0,29.597,29.88961538461539,5.974867614191309
727,1991,1.0,1.0,35.968999999999994,36.557641025641026,5.992973447641069
727,1992,1.0,0.0,43.718,40.8294358974359,5.997754630364998
727,1993,1.0,0.0,45.298,40.96471794871795,5.968983145681997
727,1994,1.0,0.0,48.177,26.548999999999996,5.98754201536932
727,1995,0.0,0.0,45.556,,
727,1996,0.0,0.0,47.807,53.84856410256412,5.979502465445285
727,1997,0.0,0.0,42.658,45.2803076923077,5.996033116760938
727,1998,0.0,0.0,64.151,63.197384615384635,5.96950676413982
727,1999,0.0,0.0,51.221000000000004,52.78464102564103,5.968910897997107
727,2000,0.0,0.0,48.013999999999996,48.03025641025641,5.973359243624744
727,2001,1.0,1.0,35.551,31.72746153846154,5.979540895975183
727,2002,1.0,1.0,38.029999999999994,34.0866923076923,5.994070677856547
727,2003,0.0,0.0,48.648999999999994,49.9594358974359,5.997754630364997
727,2004,0.0,0.0,45.574,49.77764102564103,5.992973447641068
727,2005,0.0,0.0,55.866,47.83305128205129,5.979695284115551
727,2006,0.0,0.0,51.359,62.612307692307695,5.9873910254081695
727,2007,0.0,0.0,58.88099999999999,59.9006923076923,6.0285950065239104
727,2008,0.0,0.0,55.33600000000001,53.310205128205126,5.982011055390244
727,2009,0.0,0.0,51.451,52.19089743589743,5.985673604824961
727,2010,0.0,0.0,43.243,48.651051282051284,5.9865466950405395
727,2011,0.0,0.0,63.186,67.59012820512821,5.97035171064989
727,2012,0.0,0.0,62.158,58.05246153846154,5.9733082010808705
727,2013,0.0,0.0,50.077999999999996,50.907589743589746,5.972119010360541
727,2014,0.0,0.0,48.729,50.644820512820516,5.973724023803648
727,2015,0.0,0.0,44.543,45.22546153846154,5.972366295932634
727,2016,0.0,1.0,42.42,50.43982051282052,5.969822936407347
727,2017,1.0,1.0,40.196,34.55589743589743,5.977595888487336
727,2018,0.0,1.0,41.501,45.770128205128216,6.034428748282945
727,2019,0.0,0.0,47.718999999999994,42.97458974358974,5.973032244334417
727,2020,0.0,0.0,59.46200000000001,59.70407692307693,5.97931131189115
