FLRealisation,pearson-r,p
78.0,0.10041928905068673,0.6825117983040219
79.0,0.3389151005460677,0.1557757316983872
80.0,0.3389151005460677,0.1557757316983872
81.0,0.10041928905068673,0.6825117983040219
82.0,-0.09356014857063996,0.7032253368296745
83.0,0.06669961288398125,0.7861596680120997
84.0,-0.004678007428531993,0.984835829661647
85.0,-0.09356014857063998,0.7032253368296745
86.0,-0.09356014857063998,0.7032253368296745
87.0,-0.09356014857063999,0.7032253368296745
88.0,0.08420413371357593,0.7318023409267964
89.0,-0.09356014857063996,0.7032253368296745
90.0,-0.09356014857063996,0.7032253368296745
91.0,-0.09356014857063999,0.7032253368296745
92.0,-0.058577918612900605,0.8117223206960738
93.0,-0.21757512627648795,0.37089911842802875
94.0,-0.18244228971274792,0.45472096289207403
95.0,0.06669961288398127,0.7861596680120997
96.0,0.1730862748556839,0.4785588998566338
97.0,0.1730862748556839,0.4785588998566338
98.0,0.02092068521889307,0.9322542028199466
99.0,0.2634155559226539,0.275871551271004
100.0,0.2715600901612974,0.2607415965838634
101.0,0.4172764645401699,0.07548602788589862
102.0,0.3500878812667527,0.14173243378853229
103.0,0.5504596422188461,0.014598579687923385
104.0,0.550459642218846,0.014598579687923385
105.0,0.4110098661900718,0.0804402072181111
106.0,0.06238542611813589,0.7997140161885571
107.0,-0.007339461896251227,0.9762103943542354
108.0,-0.28623901395379986,0.23481632336055172
109.0,-0.18742078492058478,0.4422892506170706
110.0,-0.6218887419256298,0.004471444645253238
111.0,-0.16238206039169217,0.5065720372176492
112.0,-0.2698903536398843,0.26380004249964295
113.0,0.18448201388042726,0.44960611752167223
114.0,0.11957167566323988,0.625852611053373
115.0,0.3792130285319893,0.10933061757807423
116.0,0.2698903536398843,0.26380004249964295
117.0,0.14006967720550956,0.5673682205709255
118.0,0.20498001542269692,0.3998875558608779
119.0,0.24939235209761465,0.30316897304843227
120.0,0.4284122444376561,0.06724550573063831
121.0,0.31430269031480196,0.1900220853253173
122.0,0.18448201388042726,0.44960611752167223
123.0,-0.05466133744605254,0.8241167336213708
124.0,-0.05466133744605252,0.8241167336213708
125.0,-0.03454937455142388,0.8883325032552167
126.0,-0.10019318619912924,0.6831912360459519
127.0,-0.16583699784683464,0.49744575899974647
128.0,-0.23148080949454003,0.34031696433681397
129.0,-0.23148080949453997,0.34031696433681397
130.0,-0.23148080949453992,0.34031696433681397
131.0,0.0310944370962815,0.8994423403139488
132.0,0.09673824874398683,0.6936020453884635
133.0,0.25460936819400193,0.2928295646112879
134.0,0.1623820603916922,0.5065720372176492
135.0,0.09673824874398686,0.6936020453884636
136.0,0.14006967720550956,0.5673682205709255
137.0,-0.010249000771134843,0.9667838729520989
138.0,0.2493923520976146,0.30316897304843227
139.0,-0.314302690314802,0.19002208532531722
140.0,-0.054661337446052484,0.8241167336213708
141.0,-0.37921302853198924,0.10933061757807423
142.0,-0.18448201388042726,0.44960611752167223
143.0,-0.1195716756632399,0.625852611053373
144.0,-0.010249000771134843,0.9667838729520989
145.0,0.010249000771134827,0.9667838729520989
146.0,-0.03454937455142391,0.8883325032552167
147.0,-0.23148080949454003,0.34031696433681397
148.0,0.16238206039169223,0.5065720372176492
149.0,-0.054661337446052526,0.8241167336213708
150.0,0.5090337049663641,0.026022515701457263
151.0,0.05466133744605251,0.8241167336213708
152.0,0.3143026903148019,0.1900220853253173
153.0,-0.18448201388042726,0.44960611752167223
154.0,-0.05466133744605251,0.8241167336213708
155.0,0.07515933898832224,0.7597543609135573
156.0,0.010249000771134815,0.9667838729520989
157.0,0.07515933898832218,0.7597543609135573
158.0,-0.14006967720550959,0.5673682205709251
159.0,-0.16238206039169223,0.5065720372176492
160.0,-0.35931349533480833,0.13082220258540875
161.0,-0.3217979514674191,0.179102439946704
162.0,-0.3217979514674192,0.179102439946704
163.0,-0.4561751180142535,0.04963580469164008
164.0,-0.5651385660113487,0.011688719441751124
165.0,-0.4256887899825743,0.06919568211801332
166.0,-0.5461999027219734,0.015543366527556144
167.0,-0.13807652244469426,0.5729491401207559
168.0,-0.13807652244469426,0.5729491401207559
169.0,0.17991789288248042,0.46109217366247307
170.0,-0.13807652244469426,0.5729491401207559
171.0,-0.09356014857063996,0.7032253368296745
172.0,-0.18244228971274795,0.45472096289207403
173.0,0.06669961288398127,0.7861596680120997
174.0,0.08420413371357598,0.7318023409267964
175.0,0.17991789288248045,0.46109217366247307
176.0,0.2594164967142741,0.28349542695427665
177.0,0.33891510054606777,0.1557757316983872
178.0,0.49791230820965504,0.03004860211521692
179.0,0.2594164967142741,0.28349542695427665
180.0,0.33891510054606777,0.1557757316983872
181.0,-0.0585779186129006,0.8117223206960738
182.0,0.02092068521889308,0.9322542028199466
183.0,-0.3253956867279842,0.17401472322439573
184.0,-0.21757512627648795,0.37089911842802875
185.0,-0.10459147073399493,0.6700168377960514
186.0,-0.25179428139665444,0.29838163604410317
187.0,0.18981415059132412,0.43637638592466926
188.0,-0.030990065402665187,0.8997782511435034
189.0,0.18981415059132412,0.43637638592466926
190.0,-0.10459147073399493,0.6700168377960514
191.0,0.0209206852188931,0.9322542028199466
