latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,68.0,2021-01-28 06:00:00,288.71188,8.4,15.56,60.01,56.1,13.39
30.0,68.0,2021-01-28 12:00:00,290.37515,8.3,17.23,63.01,59.4,15.22
30.0,68.0,2021-01-28 18:00:00,282.69202,15.9,9.54,49.18,44.5,6.94
30.0,68.0,2021-01-29 00:00:00,280.5037,15.7,7.35,45.24,40.2,4.56
30.0,68.0,2021-01-29 06:00:00,289.68433,8.0,16.53,61.76,58.0,14.44
30.0,68.0,2021-01-29 12:00:00,291.06113,7.8,17.91,64.24,60.7,15.94
30.0,68.0,2021-01-29 18:00:00,283.09512,16.7,9.95,49.9,45.4,7.44
30.0,68.0,2021-01-30 00:00:00,280.99625,17.1,7.85,46.12,41.2,5.11
30.0,68.0,2021-01-30 06:00:00,289.33487,9.3,16.18,61.13,57.4,14.11
30.0,68.0,2021-01-30 12:00:00,290.97522,9.4,17.83,64.09,60.6,15.89
30.0,68.0,2021-01-30 18:00:00,284.30103,18.6,11.15,52.07,47.9,8.83
30.0,68.0,2021-01-31 00:00:00,282.80566,18.3,9.66,49.38,44.9,7.17
30.0,68.0,2021-01-31 06:00:00,291.05154,9.8,17.9,64.22,60.8,16.0
30.0,68.0,2021-01-31 12:00:00,292.39145,12.6,19.24,66.63,63.6,17.56
30.0,68.0,2021-01-31 18:00:00,285.83246,22.4,12.68,54.83,51.1,10.61
30.0,68.0,2021-02-01 00:00:00,284.15146,24.5,11.0,51.8,47.8,8.78
30.0,68.0,2021-02-01 06:00:00,292.49908,15.5,19.35,66.83,63.9,17.72
30.0,68.0,2021-02-01 12:00:00,292.7337,15.4,19.58,67.25,64.4,18.0
30.0,68.0,2021-02-01 18:00:00,286.0341,25.0,12.88,55.19,51.6,10.89
30.0,68.0,2021-02-02 00:00:00,283.56638,28.1,10.42,50.75,46.8,8.22
30.0,68.0,2021-02-02 06:00:00,291.40796,17.0,18.26,64.86,61.8,16.56
30.0,68.0,2021-02-02 12:00:00,292.5592,17.2,19.41,66.94,64.1,17.83
30.0,68.0,2021-02-02 18:00:00,285.8793,28.2,12.73,54.91,51.4,10.78
30.0,68.0,2021-02-03 00:00:00,282.97644,27.5,9.83,49.69,45.7,7.61
30.0,68.0,2021-02-03 06:00:00,290.5098,18.2,17.36,63.25,60.1,15.61
30.0,68.0,2021-02-03 12:00:00,291.71356,12.6,18.56,65.41,62.2,16.78
30.0,68.0,2021-02-03 18:00:00,285.90588,31.5,12.76,54.96,51.6,10.89
30.0,68.0,2021-02-04 00:00:00,282.8053,35.7,9.66,49.38,45.7,7.61
30.0,68.0,2021-02-04 06:00:00,290.1861,19.0,17.04,62.66,59.5,15.28
30.0,68.0,2021-02-04 12:00:00,291.8443,15.9,18.69,65.65,62.7,17.06
30.0,68.0,2021-02-04 18:00:00,284.84247,27.0,11.69,53.05,49.3,9.61
30.0,68.0,2021-02-05 00:00:00,282.19968,24.4,9.05,48.29,44.0,6.67
30.0,68.0,2021-02-05 06:00:00,289.88782,14.3,16.74,62.13,58.7,14.83
30.0,68.0,2021-02-05 12:00:00,291.69357,11.4,18.54,65.38,62.2,16.78
30.0,68.0,2021-02-05 18:00:00,284.3013,22.3,11.15,52.07,48.0,8.89
30.0,68.0,2021-02-06 00:00:00,281.77594,23.6,8.63,47.53,43.1,6.17
30.0,68.0,2021-02-06 06:00:00,290.39758,14.6,17.25,63.05,59.7,15.39
30.0,68.0,2021-02-06 12:00:00,292.12433,14.3,18.97,66.15,63.1,17.28
30.0,68.0,2021-02-06 18:00:00,285.62616,27.2,12.48,54.46,50.9,10.5
30.0,68.0,2021-02-07 00:00:00,283.5329,26.8,10.38,50.69,46.7,8.17
30.0,68.0,2021-02-07 06:00:00,291.9072,15.4,18.76,65.76,62.8,17.11
30.0,68.0,2021-02-07 12:00:00,294.2899,14.2,21.14,70.05,67.4,19.67
30.0,68.0,2021-02-07 18:00:00,286.48483,27.1,13.33,56.0,52.6,11.44
30.0,68.0,2021-02-08 00:00:00,283.96008,29.0,10.81,51.46,47.7,8.72
30.0,68.0,2021-02-08 06:00:00,293.3954,14.6,20.25,68.44,65.7,18.72
30.0,68.0,2021-02-08 12:00:00,295.22296,13.2,22.07,71.73,69.2,20.67
30.0,68.0,2021-02-08 18:00:00,287.43,25.2,14.28,57.7,54.4,12.44
30.0,68.0,2021-02-09 00:00:00,285.43768,21.8,12.29,54.12,50.3,10.17
30.0,68.0,2021-02-09 06:00:00,295.20325,12.3,22.05,71.7,69.1,20.61
30.0,68.0,2021-02-09 12:00:00,297.74054,10.2,24.59,76.26,74.1,23.39
30.0,68.0,2021-02-09 18:00:00,289.76837,21.9,16.62,61.91,58.8,14.89
30.0,68.0,2021-02-10 00:00:00,285.64,16.6,12.49,54.48,50.4,10.22
30.0,68.0,2021-02-10 06:00:00,294.81235,9.6,21.66,70.99,68.2,20.11
30.0,68.0,2021-02-10 12:00:00,296.91458,7.7,23.76,74.78,72.3,22.39
30.0,68.0,2021-02-10 18:00:00,288.00446,18.8,14.85,58.74,55.2,12.89
30.0,68.0,2021-02-11 00:00:00,285.19006,19.4,12.04,53.67,49.6,9.78
30.0,68.0,2021-02-11 06:00:00,295.01837,10.2,21.87,71.36,68.7,20.39
30.0,68.0,2021-02-11 12:00:00,296.84805,9.6,23.7,74.66,72.3,22.39
30.0,68.0,2021-02-11 18:00:00,288.85477,18.9,15.7,60.27,56.9,13.83
30.0,68.0,2021-02-12 00:00:00,286.4327,19.4,13.28,55.91,52.1,11.17
30.0,68.0,2021-02-12 06:00:00,294.6746,12.2,21.52,70.74,68.1,20.06
30.0,68.0,2021-02-12 12:00:00,295.31628,13.4,22.17,71.9,69.4,20.78
30.0,68.0,2021-02-12 18:00:00,288.8912,23.2,15.74,60.33,57.2,14.0
30.0,68.0,2021-02-13 00:00:00,286.799,22.6,13.65,56.57,53.0,11.67
30.0,68.0,2021-02-13 06:00:00,295.1217,13.8,21.97,71.55,69.1,20.61
30.0,68.0,2021-02-13 12:00:00,296.34464,13.3,23.19,73.75,71.5,21.94
30.0,68.0,2021-02-13 18:00:00,288.4788,24.9,15.33,59.59,56.4,13.56
30.0,68.0,2021-02-14 00:00:00,285.5577,26.1,12.41,54.33,50.7,10.39
30.0,68.0,2021-02-14 06:00:00,295.5512,12.8,22.4,72.32,69.9,21.06
30.0,68.0,2021-02-14 12:00:00,296.91077,12.6,23.76,74.77,72.5,22.5
30.0,68.0,2021-02-14 18:00:00,288.8248,25.3,15.67,60.21,57.1,13.94
30.0,68.0,2021-02-15 00:00:00,286.09,22.4,12.94,55.29,51.6,10.89
30.0,68.0,2021-02-15 06:00:00,295.04492,11.4,21.89,71.41,68.8,20.44
30.0,68.0,2021-02-15 12:00:00,296.75443,8.2,23.6,74.49,72.0,22.22
30.0,68.0,2021-02-15 18:00:00,288.72968,15.9,15.58,60.04,56.5,13.61
30.0,68.0,2021-02-16 00:00:00,286.1816,12.5,13.03,55.46,51.3,10.72
30.0,68.0,2021-02-16 06:00:00,295.25528,7.1,22.11,71.79,69.0,20.56
30.0,68.0,2021-02-16 12:00:00,296.79608,6.5,23.65,74.56,72.0,22.22
30.0,68.0,2021-02-16 18:00:00,288.44778,11.6,15.3,59.54,55.7,13.17
30.0,68.0,2021-02-17 00:00:00,285.08353,12.0,11.93,53.48,49.1,9.5
30.0,68.0,2021-02-17 06:00:00,295.62152,5.9,22.47,72.45,69.7,20.94
30.0,68.0,2021-02-17 12:00:00,296.86337,5.9,23.71,74.68,72.1,22.28
30.0,68.0,2021-02-17 18:00:00,287.86533,12.7,14.72,58.49,54.6,12.56
30.0,68.0,2021-02-18 00:00:00,285.25955,12.4,12.11,53.8,49.5,9.72
30.0,68.0,2021-02-18 06:00:00,295.49445,7.3,22.34,72.22,69.5,20.83
30.0,68.0,2021-02-18 12:00:00,296.96176,7.9,23.81,74.86,72.4,22.44
30.0,68.0,2021-02-18 18:00:00,288.8712,15.9,15.72,60.3,56.8,13.78
30.0,68.0,2021-02-19 00:00:00,286.50275,16.8,13.35,56.03,52.1,11.17
30.0,68.0,2021-02-19 06:00:00,295.21008,10.9,22.06,71.71,69.1,20.61
30.0,68.0,2021-02-19 12:00:00,296.13458,11.3,22.98,73.37,70.9,21.61
30.0,68.0,2021-02-19 18:00:00,288.89706,20.5,15.75,60.34,57.0,13.89
30.0,68.0,2021-02-20 00:00:00,286.92062,22.0,13.77,56.79,53.2,11.78
30.0,68.0,2021-02-20 06:00:00,295.80554,12.5,22.66,72.78,70.3,21.28
30.0,68.0,2021-02-20 12:00:00,297.34357,12.1,24.19,75.55,73.4,23.0
30.0,68.0,2021-02-20 18:00:00,290.19736,21.0,17.05,62.69,59.6,15.33
30.0,68.0,2021-02-21 00:00:00,288.19788,23.1,15.05,59.09,55.8,13.22
30.0,68.0,2021-02-21 06:00:00,296.44016,13.8,23.29,73.92,71.7,22.06
30.0,68.0,2021-02-21 12:00:00,298.00946,13.2,24.86,76.75,74.7,23.72
30.0,68.0,2021-02-21 18:00:00,290.47458,22.5,17.32,63.18,60.3,15.72
30.0,68.0,2021-02-22 00:00:00,288.0541,24.4,14.9,58.83,55.6,13.11
30.0,68.0,2021-02-22 06:00:00,297.18283,13.2,24.03,75.26,73.1,22.83
30.0,68.0,2021-02-22 12:00:00,299.10464,12.8,25.95,78.72,76.9,24.94
30.0,68.0,2021-02-22 18:00:00,291.7163,19.7,18.57,65.42,62.6,17.0
30.0,68.0,2021-02-23 00:00:00,289.5726,31.2,16.42,61.56,58.9,14.94
30.0,68.0,2021-02-23 06:00:00,297.13864,23.9,23.99,75.18,73.5,23.06
30.0,68.0,2021-02-23 12:00:00,300.3025,13.3,27.15,80.87,79.3,26.28
30.0,68.0,2021-02-23 18:00:00,292.2483,32.9,19.1,66.38,64.3,17.94
30.0,68.0,2021-02-24 00:00:00,289.78253,36.1,16.63,61.94,59.5,15.28
30.0,68.0,2021-02-24 06:00:00,298.21655,21.0,25.07,77.12,75.5,24.17
30.0,68.0,2021-02-24 12:00:00,299.57996,16.0,26.43,79.57,78.0,25.56
30.0,68.0,2021-02-24 18:00:00,292.36188,26.9,19.21,66.58,64.2,17.89
30.0,68.0,2021-02-25 00:00:00,289.3836,31.1,16.23,61.22,58.5,14.72
30.0,68.0,2021-02-25 06:00:00,297.92163,18.1,24.77,76.59,74.8,23.78
30.0,68.0,2021-02-25 12:00:00,299.2362,15.4,26.09,78.96,77.3,25.17
30.0,68.0,2021-02-25 18:00:00,291.87808,26.6,18.73,65.71,63.2,17.33
30.0,68.0,2021-02-26 00:00:00,292.74832,24.6,19.6,67.28,64.9,18.28
30.0,68.0,2021-02-26 06:00:00,296.38837,24.8,23.24,73.83,72.1,22.28
30.0,68.0,2021-02-26 12:00:00,297.10138,19.8,23.95,75.11,73.3,22.94
30.0,68.0,2021-02-26 18:00:00,288.6672,36.7,15.52,59.93,57.3,14.06
30.0,68.0,2021-02-27 00:00:00,284.7871,31.8,11.64,52.95,49.4,9.67
30.0,68.0,2021-02-27 06:00:00,291.9292,16.0,18.78,65.8,62.8,17.11
30.0,68.0,2021-02-27 12:00:00,294.4666,10.6,21.32,70.37,67.6,19.78
30.0,68.0,2021-02-27 18:00:00,287.0502,19.7,13.9,57.02,53.3,11.83
30.0,68.0,2021-02-28 00:00:00,283.44888,13.5,10.3,50.54,45.9,7.72
30.0,68.0,2021-02-28 06:00:00,293.3071,8.2,20.16,68.28,65.2,18.44
30.0,68.0,2021-02-28 12:00:00,294.9971,7.6,21.85,71.32,68.5,20.28
30.0,68.0,2021-02-28 18:00:00,287.09216,14.3,13.94,57.1,53.2,11.78
30.0,68.0,2021-03-01 00:00:00,285.41226,16.9,12.26,54.07,50.0,10.0
30.0,68.0,2021-03-01 06:00:00,294.7447,10.6,21.59,70.87,68.2,20.11
30.0,68.0,2021-03-01 12:00:00,296.677,8.3,23.53,74.35,71.9,22.17
30.0,68.0,2021-03-01 18:00:00,288.0329,17.4,14.88,58.79,55.2,12.89
30.0,68.0,2021-03-02 00:00:00,285.53384,19.2,12.38,54.29,50.3,10.17
30.0,68.0,2021-03-02 06:00:00,295.54172,10.6,22.39,72.31,69.7,20.94
30.0,68.0,2021-03-02 12:00:00,297.86697,8.9,24.72,76.49,74.3,23.5
30.0,68.0,2021-03-02 18:00:00,289.26352,16.9,16.11,61.0,57.6,14.22
30.0,68.0,2021-03-03 00:00:00,287.41434,18.1,14.26,57.68,54.0,12.22
30.0,68.0,2021-03-03 06:00:00,297.89618,12.2,24.75,76.54,74.5,23.61
30.0,68.0,2021-03-03 12:00:00,300.6993,12.6,27.55,81.59,79.3,26.28
30.0,68.0,2021-03-03 18:00:00,291.984,23.9,18.83,65.9,63.3,17.39
30.0,68.0,2021-03-04 00:00:00,288.96927,25.9,15.82,60.47,57.4,14.11
30.0,68.0,2021-03-04 06:00:00,298.23337,11.9,25.08,77.15,75.1,23.94
30.0,68.0,2021-03-04 12:00:00,301.2651,10.5,28.12,82.61,79.7,26.5
30.0,68.0,2021-03-04 18:00:00,292.8731,17.6,19.72,67.5,64.8,18.22
30.0,68.0,2021-03-05 00:00:00,290.10184,19.1,16.95,62.51,59.4,15.22
30.0,68.0,2021-03-05 06:00:00,299.49277,10.2,26.34,79.42,77.5,25.28
30.0,68.0,2021-03-05 12:00:00,301.42697,9.1,28.28,82.9,79.7,26.5
30.0,68.0,2021-03-05 18:00:00,292.7255,19.0,19.58,67.24,64.6,18.11
30.0,68.0,2021-03-06 00:00:00,290.65372,23.3,17.5,63.51,60.7,15.94
30.0,68.0,2021-03-06 06:00:00,299.86328,13.5,26.71,80.08,78.4,25.78
30.0,68.0,2021-03-06 12:00:00,302.32437,12.5,29.17,84.51,81.4,27.44
30.0,68.0,2021-03-06 18:00:00,294.35342,18.5,21.2,70.17,67.8,19.89
30.0,68.0,2021-03-07 00:00:00,290.40643,15.7,17.26,63.06,59.8,15.44
30.0,68.0,2021-03-07 06:00:00,299.52527,6.9,26.38,79.48,77.5,25.28
30.0,68.0,2021-03-07 12:00:00,301.12994,8.2,27.98,82.36,79.2,26.22
30.0,68.0,2021-03-07 18:00:00,292.2339,16.3,19.08,66.35,63.5,17.5
30.0,68.0,2021-03-08 00:00:00,288.44012,11.3,15.29,59.52,55.7,13.17
30.0,68.0,2021-03-08 06:00:00,297.36978,6.6,24.22,75.6,73.2,22.89
30.0,68.0,2021-03-08 12:00:00,299.83566,4.3,26.69,80.03,77.9,25.5
30.0,68.0,2021-03-08 18:00:00,290.848,11.9,17.7,63.86,60.5,15.83
30.0,68.0,2021-03-09 00:00:00,288.48218,15.3,15.33,59.6,56.0,13.33
30.0,68.0,2021-03-09 06:00:00,298.07803,13.5,24.93,76.87,74.9,23.83
30.0,68.0,2021-03-09 12:00:00,298.88547,19.3,25.74,78.32,76.8,24.89
30.0,68.0,2021-03-09 18:00:00,292.2859,34.5,19.14,66.44,64.4,18.0
30.0,68.0,2021-03-10 00:00:00,289.21936,40.7,16.07,60.92,58.6,14.78
30.0,68.0,2021-03-10 06:00:00,298.43686,21.8,25.29,77.52,76.0,24.44
30.0,68.0,2021-03-10 12:00:00,300.25723,14.9,27.11,80.79,79.3,26.28
30.0,68.0,2021-03-10 18:00:00,292.73685,26.0,19.59,67.26,64.9,18.28
30.0,68.0,2021-03-11 00:00:00,289.1858,31.3,16.04,60.86,58.1,14.5
30.0,68.0,2021-03-11 06:00:00,299.1669,15.9,26.02,78.83,77.2,25.11
30.0,68.0,2021-03-11 12:00:00,300.2,13.0,27.05,80.69,79.1,26.17
30.0,68.0,2021-03-11 18:00:00,291.95374,22.6,18.8,65.85,63.2,17.33
30.0,68.0,2021-03-12 00:00:00,289.41904,28.1,16.27,61.28,58.4,14.67
30.0,68.0,2021-03-12 06:00:00,296.516,26.0,23.37,74.06,72.4,22.44
30.0,68.0,2021-03-12 12:00:00,297.82193,26.2,24.67,76.41,75.0,23.89
30.0,68.0,2021-03-12 18:00:00,292.17776,40.9,19.03,66.25,64.5,18.06
30.0,68.0,2021-03-13 00:00:00,290.4978,44.4,17.35,63.23,61.3,16.28
30.0,68.0,2021-03-13 06:00:00,296.14304,36.8,22.99,73.39,72.2,22.33
30.0,68.0,2021-03-13 12:00:00,297.8,32.9,24.65,76.37,75.3,24.06
30.0,68.0,2021-03-13 18:00:00,292.1334,48.0,18.98,66.17,64.7,18.17
30.0,68.0,2021-03-14 00:00:00,289.1066,57.4,15.96,60.72,59.2,15.11
30.0,68.0,2021-03-14 06:00:00,296.671,32.8,23.52,74.34,73.0,22.78
30.0,68.0,2021-03-14 12:00:00,299.57553,24.3,26.43,79.57,78.4,25.78
30.0,68.0,2021-03-14 18:00:00,293.3497,37.6,20.2,68.36,66.7,19.28
30.0,68.0,2021-03-15 00:00:00,290.06262,44.2,16.91,62.44,60.5,15.83
