event_ref,year,loss
R02_2016R1_Sim_00103084,926,54.49534475
R02_2016R1_Sim_00103148,927,7.76242995
R02_2016R1_Sim_00103331,928,99.70698116999999
R02_2016R1_Sim_00104538,940,13.03285026
R02_2016R1_Sim_00105094,944,13.01191259
R02_2016R1_Sim_00105334,946,200.12732364
R02_2016R1_Sim_00106639,958,48.31297743
R02_2016R1_Sim_00106732,959,2.7776240100000003
R02_2016R1_Sim_00106889,960,80.91423368
R02_2016R1_Sim_00107650,967,31.022348050000005
R02_2016R1_Sim_00107902,969,96.62480043
R02_2016R1_Sim_00109822,987,52.114228360000006
R02_2016R1_Sim_00110878,997,13.03285026
R02_2016R1_Sim_00112506,1011,2.81102133
R02_2016R1_Sim_00112835,1013,1.2381413000000001
R02_2016R1_Sim_00113408,1018,107.68963013999999
R02_2016R1_Sim_00114559,1028,110.36442017
R02_2016R1_Sim_00115429,1036,99.70698116999999
R02_2016R1_Sim_00117354,1053,98.65722154
R02_2016R1_Sim_00118287,1062,2.47889638
R02_2016R1_Sim_00118649,1066,7.77198839
R02_2016R1_Sim_00119834,1076,7.77198839
R02_2016R1_Sim_00120920,1085,1.2381413000000001
R02_2016R1_Sim_00121185,1087,80.91423368
R02_2016R1_Sim_00121806,1093,7.77198839
R02_2016R1_Sim_00122365,1097,33.9676385
R02_2016R1_Sim_00122434,1098,18.08752775
R02_2016R1_Sim_00122618,1099,109.09573447
R02_2016R1_Sim_00124163,1114,1.2381413000000001
R02_2016R1_Sim_00125029,1121,13.01191259
R02_2016R1_Sim_00125270,1123,109.09573447
R02_2016R1_Sim_00127278,1140,2.47889638
R02_2016R1_Sim_00127779,1145,7.77198839
R02_2016R1_Sim_00128516,1151,19.63827085
R02_2016R1_Sim_00129301,1157,29.824786669999998
R02_2016R1_Sim_00129761,1161,1.2381413000000001
R02_2016R1_Sim_00130010,1163,109.09573447
R02_2016R1_Sim_00131902,1180,27.34589029
R02_2016R1_Sim_00132142,1182,28.41982674
R02_2016R1_Sim_00132739,1188,93.96851824999999
R02_2016R1_Sim_00132889,1189,99.70698116999999
R02_2016R1_Sim_00134031,1200,47.10823345
R02_2016R1_Sim_00134271,1202,72.62376713
R02_2016R1_Sim_00135626,1215,1.2381413000000001
R02_2016R1_Sim_00135880,1217,99.70698116999999
R02_2016R1_Sim_00137203,1229,1.2381413000000001
R02_2016R1_Sim_00137510,1232,31.3616556
R02_2016R1_Sim_00137762,1234,117.34416221999999
R02_2016R1_Sim_00138933,1245,96.62480043
R02_2016R1_Sim_00139870,1254,2.47889638
R02_2016R1_Sim_00140765,1263,7.77198839
R02_2016R1_Sim_00141442,1268,22.139838929999996
R02_2016R1_Sim_00143115,1284,7.77198839
R02_2016R1_Sim_00143286,1285,1.2381413000000001
R02_2016R1_Sim_00143348,1286,3.67645776
R02_2016R1_Sim_00143793,1290,7.77198839
R02_2016R1_Sim_00144676,1297,2.47889638
R02_2016R1_Sim_00144987,1300,13.01191259
R02_2016R1_Sim_00145222,1302,109.09573447
R02_2016R1_Sim_00145455,1304,1.2381413000000001
R02_2016R1_Sim_00145993,1309,98.65722154
R02_2016R1_Sim_00146940,1318,51.34000718
R02_2016R1_Sim_00147011,1319,3.67645776
R02_2016R1_Sim_00147194,1320,99.70698116999999
R02_2016R1_Sim_00147787,1326,14.252667670000001
R02_2016R1_Sim_00148044,1328,99.70698116999999
R02_2016R1_Sim_00149126,1339,7.77198839
R02_2016R1_Sim_00149576,1342,26.37617754
R02_2016R1_Sim_00149892,1345,29.824786669999998
R02_2016R1_Sim_00149954,1346,11.61893987
R02_2016R1_Sim_00150833,1353,14.252667670000001
R02_2016R1_Sim_00151071,1355,98.65722154
R02_2016R1_Sim_00151848,1362,19.863839860000002
R02_2016R1_Sim_00152197,1365,11.57417882
R02_2016R1_Sim_00152450,1367,107.68963013999999
R02_2016R1_Sim_00153475,1377,205.54221942000004
R02_2016R1_Sim_00154483,1387,12.91100144
R02_2016R1_Sim_00155093,1392,3.85650992
R02_2016R1_Sim_00155608,1396,55.91486954
R02_2016R1_Sim_00155841,1398,107.68963013999999
R02_2016R1_Sim_00157384,1413,13.03285026
R02_2016R1_Sim_00158711,1424,14.647899390000001
R02_2016R1_Sim_00158951,1426,99.70698116999999
R02_2016R1_Sim_00159253,1429,47.10823345
R02_2016R1_Sim_00159335,1430,2.7776240100000003
R02_2016R1_Sim_00159493,1431,109.09573447
R02_2016R1_Sim_00160751,1443,13.03285026
R02_2016R1_Sim_00162648,1459,4.015765310000001
R02_2016R1_Sim_00163344,1464,2.47889638
R02_2016R1_Sim_00163677,1467,14.647899390000001
R02_2016R1_Sim_00163930,1469,120.84034609
R02_2016R1_Sim_00164428,1474,29.824786669999998
R02_2016R1_Sim_00164517,1475,2.7776240100000003
R02_2016R1_Sim_00164683,1476,80.91423368
R02_2016R1_Sim_00165973,1489,6.60542059
R02_2016R1_Sim_00166860,1497,13.03285026
R02_2016R1_Sim_00167579,1502,2.47889638
R02_2016R1_Sim_00167817,1504,2.47889638
R02_2016R1_Sim_00168380,1509,99.70698116999999
R02_2016R1_Sim_00168826,1514,13.03285026
R02_2016R1_Sim_00170452,1527,2.47889638
R02_2016R1_Sim_00170528,1528,2.47889638
R02_2016R1_Sim_00170715,1529,23.15896487
R02_2016R1_Sim_00172042,1542,16.07700658
R02_2016R1_Sim_00172292,1544,99.70698116999999
R02_2016R1_Sim_00174030,1560,147.32107771000003
R02_2016R1_Sim_00175144,1570,94.87834953000001
R02_2016R1_Sim_00175570,1575,7.77198839
R02_2016R1_Sim_00175681,1576,7.77198839
R02_2016R1_Sim_00177238,1589,31.022348050000005
R02_2016R1_Sim_00177500,1591,80.91423368
R02_2016R1_Sim_00177824,1594,1.2381413000000001
R02_2016R1_Sim_00177968,1596,7.77198839
R02_2016R1_Sim_00178121,1597,17.08621585
R02_2016R1_Sim_00178201,1598,1.2381413000000001
R02_2016R1_Sim_00178373,1599,110.36442017
R02_2016R1_Sim_00179313,1608,7.77198839
R02_2016R1_Sim_00179643,1611,52.30926442
R02_2016R1_Sim_00179827,1612,6.60542059
R02_2016R1_Sim_00180595,1620,7.77198839
R02_2016R1_Sim_00182415,1635,1.2381413000000001
R02_2016R1_Sim_00182485,1636,3.67645776
R02_2016R1_Sim_00182675,1637,80.91423368
R02_2016R1_Sim_00182927,1639,1.2381413000000001
R02_2016R1_Sim_00183239,1642,50.1424458
R02_2016R1_Sim_00183505,1644,59.0823549
R02_2016R1_Sim_00184123,1650,29.824786669999998
R02_2016R1_Sim_00184207,1651,58.16777336
R02_2016R1_Sim_00184373,1652,65.34211468000001
R02_2016R1_Sim_00185336,1662,7.77198839
R02_2016R1_Sim_00185765,1665,110.36442017
R02_2016R1_Sim_00187302,1679,43.78890252000001
R02_2016R1_Sim_00187560,1681,6.60542059
R02_2016R1_Sim_00188128,1687,1.2381413000000001
R02_2016R1_Sim_00188322,1688,80.91423368
R02_2016R1_Sim_00189688,1701,2.47889638
R02_2016R1_Sim_00189950,1703,6.60542059
R02_2016R1_Sim_00191153,1715,7.77198839
R02_2016R1_Sim_00192347,1725,101.00802767
R02_2016R1_Sim_00192509,1726,117.34416221999999
R02_2016R1_Sim_00192528,1727,7.77198839
R02_2016R1_Sim_00193353,1734,7.77198839
R02_2016R1_Sim_00196750,1762,7.77198839
R02_2016R1_Sim_00197606,1769,17.31776166
R02_2016R1_Sim_00197840,1771,110.36442017
R02_2016R1_Sim_00199120,1784,1.2381413000000001
R02_2016R1_Sim_00199309,1785,109.09573447
R02_2016R1_Sim_00200230,1794,1.2381413000000001
R02_2016R1_Sim_00200596,1798,13.03285026
R02_2016R1_Sim_00201295,1803,1.2381413000000001
R02_2016R1_Sim_00203955,1826,2.47889638
R02_2016R1_Sim_00204039,1827,99.60192334000001
R02_2016R1_Sim_00204187,1828,80.91423368
R02_2016R1_Sim_00205108,1837,1.2381413000000001
R02_2016R1_Sim_00205711,1843,1.2381413000000001
R02_2016R1_Sim_00205893,1844,107.68963013999999
R02_2016R1_Sim_00206838,1853,132.10876464
R02_2016R1_Sim_00207096,1855,109.09573447
R02_2016R1_Sim_00208324,1867,86.67413090999999
R02_2016R1_Sim_00208473,1868,99.70698116999999
R02_2016R1_Sim_00209356,1877,7.84356189
R02_2016R1_Sim_00209434,1877,2.47889638
R02_2016R1_Sim_00210198,1884,98.65722154
R02_2016R1_Sim_00211597,1897,1.2381413000000001
R02_2016R1_Sim_00211850,1899,17.15503299
R02_2016R1_Sim_00212503,1905,98.65722154
R02_2016R1_Sim_00213253,1912,2.47889638
R02_2016R1_Sim_00215459,1931,14.647899390000001
R02_2016R1_Sim_00216046,1936,7.75336993
R02_2016R1_Sim_00216306,1938,22.139838929999996
R02_2016R1_Sim_00217181,1946,109.09573447
R02_2016R1_Sim_00220330,1974,34.932736160000005
R02_2016R1_Sim_00221952,1989,3.85650992
R02_2016R1_Sim_00222578,1994,29.824786669999998
R02_2016R1_Sim_00222844,1996,107.68963013999999
R02_2016R1_Sim_00224169,2009,101.00802767
R02_2016R1_Sim_00224331,2010,96.62480043
R02_2016R1_Sim_00226437,2029,48.31297743
R02_2016R1_Sim_00226527,2030,87.91227221000001
R02_2016R1_Sim_00226678,2031,107.68963013999999
R02_2016R1_Sim_00227160,2036,2.7776240100000003
R02_2016R1_Sim_00227332,2037,99.70698116999999
R02_2016R1_Sim_00229324,2055,98.65722154
R02_2016R1_Sim_00229696,2059,1.2381413000000001
R02_2016R1_Sim_00229867,2060,109.09573447
R02_2016R1_Sim_00231173,2073,7.77198839
R02_2016R1_Sim_00231340,2074,1.2381413000000001
R02_2016R1_Sim_00231404,2075,2.47889638
R02_2016R1_Sim_00231593,2076,107.68963013999999
R02_2016R1_Sim_00232237,2082,99.70698116999999
R02_2016R1_Sim_00233325,2093,7.77198839
R02_2016R1_Sim_00235044,2107,29.824786669999998
R02_2016R1_Sim_00236188,2117,1.2381413000000001
R02_2016R1_Sim_00236443,2119,9.3830446
R02_2016R1_Sim_00237301,2127,1.2381413000000001
R02_2016R1_Sim_00237429,2129,13.03285026
R02_2016R1_Sim_00237673,2131,1.2381413000000001
R02_2016R1_Sim_00237856,2132,104.52247212999998
R02_2016R1_Sim_00239444,2146,40.53549313
R02_2016R1_Sim_00239916,2150,69.91380453
R02_2016R1_Sim_00240110,2151,28.41982674
R02_2016R1_Sim_00240737,2158,13.03285026
R02_2016R1_Sim_00241423,2163,1.2381413000000001
R02_2016R1_Sim_00241734,2166,1.2381413000000001
R02_2016R1_Sim_00242784,2175,3.85650992
R02_2016R1_Sim_00243657,2182,1.2381413000000001
R02_2016R1_Sim_00243919,2184,107.68963013999999
R02_2016R1_Sim_00245020,2194,35.95239139
R02_2016R1_Sim_00245111,2195,2.7776240100000003
R02_2016R1_Sim_00245275,2196,109.09573447
R02_2016R1_Sim_00246982,2212,53.29778337
R02_2016R1_Sim_00247076,2213,67.88138341999999
R02_2016R1_Sim_00247242,2214,80.91423368
R02_2016R1_Sim_00247607,2218,7.77198839
R02_2016R1_Sim_00249491,2233,54.49534475
R02_2016R1_Sim_00250114,2238,25.447916749999997
R02_2016R1_Sim_00250349,2240,107.68963013999999
R02_2016R1_Sim_00251136,2248,13.03285026
R02_2016R1_Sim_00252502,2259,20.682989829999997
R02_2016R1_Sim_00253085,2265,2.7776240100000003
R02_2016R1_Sim_00253253,2266,71.47097348
R02_2016R1_Sim_00254244,2275,1.2381413000000001
R02_2016R1_Sim_00254383,2277,7.77198839
R02_2016R1_Sim_00254388,2277,7.77198839
R02_2016R1_Sim_00254807,2280,62.146119709999994
R02_2016R1_Sim_00256721,2298,20.381526469999997
R02_2016R1_Sim_00257545,2305,68.40720867
R02_2016R1_Sim_00258825,2317,28.58403159
R02_2016R1_Sim_00259084,2319,96.62480043
R02_2016R1_Sim_00259443,2323,7.77198839
R02_2016R1_Sim_00260315,2330,14.647899390000001
R02_2016R1_Sim_00260394,2331,101.00802767
R02_2016R1_Sim_00260591,2332,33.359936590000004
R02_2016R1_Sim_00261449,2341,7.77198839
R02_2016R1_Sim_00261879,2344,109.09573447
R02_2016R1_Sim_00263199,2357,2.47889638
R02_2016R1_Sim_00263312,2358,7.77198839
R02_2016R1_Sim_00264254,2366,13.03285026
R02_2016R1_Sim_00264519,2368,7.77198839
R02_2016R1_Sim_00264690,2369,61.337226150000006
R02_2016R1_Sim_00264935,2371,110.36442017
R02_2016R1_Sim_00266301,2384,120.84034609
R02_2016R1_Sim_00268471,2404,14.647899390000001
R02_2016R1_Sim_00268694,2406,12.42447173
R02_2016R1_Sim_00268719,2406,80.91423368
R02_2016R1_Sim_00269831,2417,2.47889638
R02_2016R1_Sim_00270017,2418,22.139838929999996
R02_2016R1_Sim_00270788,2425,1.2381413000000001
R02_2016R1_Sim_00271331,2430,110.36442017
R02_2016R1_Sim_00271646,2433,19.140771389999998
R02_2016R1_Sim_00271902,2435,94.87834953000001
R02_2016R1_Sim_00273498,2450,2.47889638
R02_2016R1_Sim_00273754,2452,99.70698116999999
R02_2016R1_Sim_00274171,2456,3.67645776
R02_2016R1_Sim_00274352,2457,107.68963013999999
R02_2016R1_Sim_00276291,2475,7.77198839
R02_2016R1_Sim_00277409,2485,39.491149660000005
R02_2016R1_Sim_00277964,2489,1.2381413000000001
R02_2016R1_Sim_00278218,2491,110.33387576999999
R02_2016R1_Sim_00280156,2510,7.77198839
R02_2016R1_Sim_00280433,2512,7.77198839
R02_2016R1_Sim_00281800,2523,57.1509422
R02_2016R1_Sim_00281899,2524,62.040676590000004
